FACTOR07,UBIGEO,RESULT,ESTRATO,P101,P102,P103,P103A,P110,P111A,P1121,P1141,P1142,P1143,P1144,Ingreso
224.562072753906,120404,1,6,1,4,6,3,1,1,1,0,1,1,1,1134.90144856771
224.562072753906,120404,1,6,1,3,4,4,1,4,1,0,1,0,0,1488.3330078125
224.562072753906,120404,1,6,1,1,5,1,1,7,1,0,1,0,1,3372.3681640625
224.562072753906,120404,1,6,1,4,5,3,1,7,1,0,1,0,0,1286.49593098958
349.926177978516,130207,1,5,1,1,2,1,1,1,1,0,1,1,0,1221.00960286458
349.926177978516,130207,1,5,1,1,5,1,1,1,1,0,1,1,1,3528.51334635417
349.926177978516,130207,1,5,1,1,5,1,1,1,1,0,1,1,1,1098.06461588542
349.926177978516,130207,2,5,1,1,5,1,1,1,1,0,1,1,0,6159.90234375
349.926177978516,130207,2,5,1,1,5,1,1,1,1,0,1,1,0,1770.9296875
349.926177978516,130207,1,5,1,1,5,1,1,1,1,0,1,1,0,1039.66967773438
263.262603759766,131103,1,7,1,3,6,4,1,4,1,0,1,1,0,3856.05631510417
263.262603759766,131103,7,7, , , , , , , , , , , , 
263.262603759766,131103,1,7,1,3,5,4,1,7,1,0,0,1,0,1283.04475911458
263.262603759766,131103,1,7,1,3,6,4,1,7,1,0,1,0,0,1835.40999348958
263.262603759766,131103,1,7,1,3,6,4,1,7,1,0,1,0,0,1152.73258463542
263.262603759766,131103,1,7,1,3,6,4,1,9,1,0,1,0,0,1016.71980794271
263.262603759766,131103,1,7,1,3,6,4,1,7,1,0,1,0,0,754.653238932292
263.262603759766,131103,1,7,1,3,6,4,1,5,1,0,1,0,1,2646.10123697917
263.262603759766,130614,1,7,1,3,6,4,1,1,1,0,0,0,0,752.275553385417
263.262603759766,130614,1,7,1,3,6,3,1,4,1,0,1,0,1,1063.67830403646
263.262603759766,130614,7,7, , , , , , , , , , , , 
263.262603759766,130614,1,7,1,3,6,3,6,9,1,0,1,0,0,887.972330729167
263.262603759766,130614,1,7,1,3,5,4,1,1,1,0,1,0,0,1169.61393229167
263.262603759766,130614,1,7,1,3,6,3,1,1,1,0,1,0,0,1686.49951171875
263.262603759766,130614,1,7,1,3,6,3,1,1,1,0,1,0,0,689.996419270833
